# Generated 2025/02/17 15:09:35 by OpenQuake Engine v3.16.0 and OpenQuake Integrated Risk Modelling Toolkit v3.16.3,,,,,,,,,,,,,,,,,,,,,,,
# poe = 0.02000,,,,,,,,,,,,,,,,,,,,,,,
# return_period = 2500,,,,,,,,,,,,,,,,,,,,,,,
lon,lat,mean_PGA,mean_SA(0.01),mean_SA(0.02),mean_SA(0.03),mean_SA(0.05),mean_SA(0.075),mean_SA(0.1),mean_SA(0.15),mean_SA(0.2),mean_SA(0.25),mean_SA(0.3),mean_SA(0.4),mean_SA(0.5),mean_SA(0.75),mean_SA(1.0),mean_SA(1.5),mean_SA(2.0),mean_SA(3.0),mean_SA(4.0),mean_SA(5.0),mean_SA(7.5),mean_SA(10.0)
-115.3514473,32.35275363,0.989620805,0.975679994,0.990628242,1.055825114,1.201989055,1.390222192,1.590539813,1.965211272,2.044203997,2.061085463,2.048292875,1.900655866,1.724554658,1.493975401,1.338759065,1.012604713,0.800884366,0.515255451,0.357714176,0.256865472,0.112952471,0.055935051
-115.3514669,32.34825702,1.000052214,0.986061275,1.001483798,1.067707896,1.214739799,1.399625659,1.601165295,1.977963805,2.047753811,2.065838099,2.055436373,1.919029593,1.743241191,1.511887908,1.355187535,1.02775681,0.814835787,0.524235785,0.364028931,0.26060462,0.114562929,0.056757811
-115.3514865,32.34376041,1.010181546,0.996157706,1.012123466,1.079617739,1.227689862,1.408672214,1.611571312,1.990719676,2.05117631,2.070388079,2.063254833,1.937792778,1.762433052,1.53046453,1.372267365,1.043581009,0.829505205,0.533676267,0.370663613,0.264520615,0.116244994,0.057618283
-115.3513493,32.37523667,0.950084746,0.938457549,0.952134371,1.013360143,1.157417536,1.358766794,1.547657371,1.915357351,2.028474808,2.041633129,2.014279604,1.837563992,1.663772821,1.436857581,1.274329424,0.964989662,0.757344067,0.487107456,0.337858886,0.242864087,0.107035235,0.053285357
-115.3513689,32.37074006,0.954163134,0.941987336,0.955857515,1.01809299,1.162642598,1.362733483,1.553379416,1.922471404,2.031457663,2.044442177,2.022413731,1.844857812,1.670233727,1.442758203,1.281441212,0.969871044,0.761810601,0.49005121,0.33997348,0.244446874,0.107723765,0.053578693
-115.3513885,32.36624345,0.960860252,0.94799602,0.962050021,1.025257945,1.170042634,1.367955685,1.561038733,1.931310177,2.034179688,2.047935247,2.030995131,1.855203032,1.679870963,1.451698542,1.292276502,0.977274656,0.768559754,0.49443388,0.343081564,0.246746242,0.108712472,0.054001294
-115.3514081,32.36174685,0.969445944,0.956005096,0.970232964,1.034103155,1.179180503,1.374058366,1.570052028,1.941449523,2.037233591,2.051904917,2.036153793,1.868040442,1.692198277,1.463237047,1.30625689,0.986859381,0.777300537,0.500065863,0.347049564,0.249673218,0.109969042,0.054531503
-115.3557403,32.59107386,0.889791429,0.879448891,0.890032709,0.937990963,1.041744232,1.270680428,1.424494028,1.709967971,1.80365169,1.834409475,1.798300147,1.654939055,1.50132966,1.274132252,1.100859761,0.830877542,0.643796623,0.410516381,0.281861454,0.200638756,0.088689819,0.044790521
-115.3557598,32.58657725,0.888288379,0.877978504,0.888485909,0.935928106,1.038715243,1.268039465,1.422379494,1.707337022,1.801349282,1.832074404,1.795815587,1.652604222,1.499070764,1.271854639,1.099227309,0.829725862,0.643121123,0.41022715,0.281741053,0.200595409,0.088696629,0.044801634
-115.3557794,32.58208064,0.88715142,0.876858652,0.887311637,0.934313297,1.036300421,1.265981197,1.420665264,1.705290556,1.79963088,1.830358624,1.794008613,1.651006341,1.497564316,1.270451307,1.098379612,0.829247534,0.642934442,0.41024372,0.281821519,0.200690284,0.088760093,0.044839665
